All installed programs list generated by choco-package-list-backup on 2021-10-13.


DisplayName                                                                   DisplayVersion               Publisher                         
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664                    12.0.40664                   Microsoft Corporation             
Chocolatey GUI                                                                0.19.0.0                     Chocolatey                        
vs_filehandler_x86                                                            17.0.31709                   Microsoft Corporation             
vs_clickoncebootstrappermsi                                                   17.0.31709                   Microsoft Corporation             
WinRT Intellisense UAP - Other Languages                                      10.1.19041.685               Microsoft Corporation             
WPT Redistributables                                                          10.1.21382.1                 Microsoft                         
WinRT Intellisense UAP - en-us                                                10.1.20348.1                 Microsoft Corporation             
Windows SDK for Windows Store Apps Contracts                                  10.1.20348.1                 Microsoft Corporation             
Windows IoT Extension SDK Contracts                                           10.1.20348.1                 Microsoft Corporation             
Universal CRT Redistributable                                                 10.1.20348.1                 Microsoft Corporation             
Windows SDK for Windows Store Apps Headers                                    10.1.19041.685               Microsoft Corporation             
Microsoft .NET Runtime - 5.0.11 (x86)                                         40.44.30523                  Microsoft Corporation             
Universal General MIDI DLS Extension SDK                                      10.1.20348.1                 Microsoft Corporation             
Windows SDK ARM Desktop Tools                                                 10.1.19041.685               Microsoft Corporation             
Microsoft .NET Framework 4.8 SDK                                              4.8.03928                    Microsoft Corporation             
Windows SDK Desktop Libs arm64                                                10.1.19041.685               Microsoft Corporation             
Windows SDK Desktop Libs arm64                                                10.1.20348.1                 Microsoft Corporation             
Windows SDK DirectX x86 Remote                                                10.1.20348.1                 Microsoft Corporation             
vcpp_crt.redist.clickonce                                                     14.30.30528                  Microsoft Corporation             
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30528            14.30.30528.0                Microsoft Corporation             
Windows SDK for Windows Store Apps Metadata                                   10.1.20348.1                 Microsoft Corporation             
Microsoft Edge Dev                                                            96.0.1032.0                  Microsoft Corporation             
Windows SDK Desktop Headers arm64                                             10.1.20348.1                 Microsoft Corporation             
MSI Development Tools                                                         10.1.20348.1                 Microsoft Corporation             
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161                9.0.30729.6161               Microsoft Corporation             
Windows Deployment Customizations                                             10.1.21382.1                 Microsoft                         
GitHub CLI                                                                    2.0.0                        GitHub, Inc.                      
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664                  12.0.40664.0                 Microsoft Corporation             
OEM Test Certificates (OnecoreUAP)                                            10.1.21382.1                 Microsoft                         
Oscdimg (DesktopEditions)                                                     10.1.21382.1                 Microsoft                         
OACheck                                                                       10.1.21382.1                 Microsoft                         
WinRT Intellisense Desktop - Other Languages                                  10.1.20348.1                 Microsoft Corporation             
Windows Desktop Extension SDK Contracts                                       10.1.19041.685               Microsoft Corporation             
Universal CRT Extension SDK                                                   10.1.20348.1                 Microsoft Corporation             
vs_helpconfigmsi                                                              17.0.31703                   Microsoft Corporation             
Visual C++ Library CRT Desktop Appx Package                                   14.30.30528                  Microsoft Corporation             
Microsoft .NET Framework 4.8 Targeting Pack (ENU)                             4.8.03761                    Microsoft Corporation             
Windows SDK EULA                                                              10.1.19041.685               Microsoft Corporations            
Universal CRT Redistributable                                                 10.1.19041.685               Microsoft Corporation             
Microsoft Azure CLI                                                           2.28.0                       Microsoft Corporation             
Microsoft .NET SDK 6.0.100-preview.7.21379.14 (x64)                           6.1.21.37914                 Microsoft Corporation             
Windows SDK Facade Windows WinMD Versioned                                    10.1.20348.1                 Microsoft Corporation             
Universal General MIDI DLS Extension SDK                                      10.1.19041.685               Microsoft Corporation             
Windows SDK Redistributables                                                  10.1.20348.1                 Microsoft Corporation             
Microsoft Windows Desktop Runtime - 6.0.0 Rc 1 (x86)                          48.3.29267                   Microsoft Corporation             
Windows Deployment Image Servicing and Management - Headers and Libraries     10.1.21382.1                 Microsoft                         
vs_clickoncesigntoolmsi                                                       17.0.31703                   Microsoft Corporation             
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030                 11.0.61030                   Microsoft Corporation             
WPTx64 (DesktopEditions)                                                      10.1.21382.1                 Microsoft                         
WinRT Intellisense Desktop - Other Languages                                  10.1.19041.685               Microsoft Corporation             
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)                           4.7.03062                    Microsoft Corporation             
Windows Setup Files (ShellCommon)                                             10.1.21382.1                 Microsoft                         
Windows SDK Signing Tools                                                     10.1.19041.685               Microsoft Corporation             
Microsoft .NET Runtime - 5.0.11 (x86)                                         5.0.11.30523                 Microsoft Corporation             
Microsoft ASP.NET Core 6.0.0 RC 1 Build rc.1.21452.15 Shared Framework (x86)  6.0.0.21452                  Microsoft Corporation             
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30528            14.30.30528.0                Microsoft Corporation             
Microsoft .NET Framework 4.8 Targeting Pack                                   4.8.03761                    Microsoft Corporation             
Visual C++ Library CRT Appx Package                                           14.30.30528                  Microsoft Corporation             
WinRT Intellisense Desktop - en-us                                            10.1.19041.685               Microsoft Corporation             
Windows Assessment and Deployment Kit - Windows 10                            10.1.21382.1                 Microsoft Corporation             
